seed,bias
698843271,0.01453975847929996
1791653617,0.015499603500169585
493240704,0.018619961127279806
613678182,0.01459121232423521
370267345,0.011425808371821042
156269147,0.022829794031517553
835823359,0.019473946110241697
143124570,0.0013539513622182944
593530112,0.008210170030477566
1955547732,0.00023888948454891789
1299633696,0.015928294642320543
1319945545,0.011711502959125887
951527159,0.017508554873254867
533277282,0.012516657515115728
1844529903,0.020808556925439255
337779951,0.029584602224259106
1605697108,0.006698621643331031
393905665,0.014779262900120362
1089324843,0.011821358564086976
1402323008,0.023384727073366886
156949210,0.015443470402609743
1990994663,0.020842948133357155
1580573371,0.010835560256287038
1151273762,0.024983884967233385
813885346,0.012422067310412111
707837483,0.005615116651162224
1513453699,0.00918894295601024
329302885,0.024811178686498084
1215510387,0.016783374598760573
2121254660,0.01784967777785166
142124934,0.01712578260003363
1782876137,0.012588763996665673
1400288726,0.01413309116936277
248965869,0.014089476717999984
1166397091,0.006833099847926361
412440864,0.009550162371147218
1249029682,0.010041765808515006
1552749702,0.01893115195740275
679348496,0.028650455293555907
1048923416,0.01587472536512119
2145517570,0.02258564648932395
692948886,0.009480890554400922
381359917,0.019165531781558717
386665897,0.00470134002486069
1128844424,0.012366824312665609
1506001768,0.015968276456391504
728785454,0.017768304051472193
1249880050,0.019433766769636696
372853081,0.018446178378450518
2100356171,0.018822506569117336
1527385356,0.016332817488586913
2079874157,0.002077628146809526
1078366534,0.015501865268517104
1061195275,0.024053734612429798
1287232119,0.0203639932587383
763552511,0.009176169425113276
656499585,0.017185092459819227
1900277080,0.020971634177215377
1783173823,0.018415578120751782
487784854,0.011707189431658143
1770968334,0.016865285980153504
287868995,0.004271667272925457
2098831143,0.007317729628543762
2126050261,0.01195809714614585
1948384257,0.01746851736582722
1418454448,0.022672714063428915
1054775224,0.017097980629144853
1463816757,0.00565645014893953
1593675581,0.005701258896851371
799733665,0.015325251921421593
1843054196,0.015795278664685344
353984068,0.01568861889646337
1750615352,0.009814512294773007
360187555,0.016242299026692223
279705469,0.016633554103626408
1210164804,0.0010698497043109788
1477281101,0.018422033134061735
1122277455,0.011979442072057783
1881193406,0.016915230666398707
1130839594,0.012598547321183347
234935008,0.015791666112654125
57845001,0.021751251893702913
1824463097,0.012024389640910606
986807428,0.016029408422793146
1230302164,0.027525271830933222
1423898005,0.01722186685939547
1973404817,0.013228525305884463
886792422,0.01271235117688107
524437858,0.01126176802555232
2111427778,0.011827234369975532
1143266066,0.021303114859571565
520155717,0.013350722345026891
1570976675,0.015498624901403815
